locus,dataset,label,test,target,conditioned_on,r2_reduced_by_ld,beta_marginal,z_marginal,p_marginal,beta_cond,se_cond,z_cond,p_cond,OR_cond,OR_lo,OR_hi
nppa,ebi-a-GCST005195,CAD (van der Harst),secondary#3|rs12567119,rs34536155,rs12567119,,-0.0484763,-2.9625,0.00305,,,-2.4317,0.015,,,
nppa,ebi-a-GCST006061,AF (Nielsen),rs5068|rs5066,rs5068,rs5066,0.0016,+0.0576,+3.4699,0.000521,+0.0602156,0.0165868,+3.6303,0.000283,1.062,1.028,1.097
nppa,ebi-a-GCST006061,AF (Nielsen),rs5066|rs5068,rs5066,rs5068,0.0016,+0.062,+3.9490,7.85e-05,+0.0641736,0.0156875,+4.0908,4.3e-05,1.066,1.034,1.1
nppa,ebi-a-GCST006061,AF (Nielsen),rs5068|rs198411,rs5068,rs198411,0.0042,+0.0576,+3.4699,0.000521,+0.0595936,0.0165649,+3.5976,0.000321,1.061,1.027,1.096
nppa,ebi-a-GCST006061,AF (Nielsen),rs198411|rs5068,rs198411,rs5068,0.0042,+0.0194,+1.8476,0.0647,+0.0217682,0.0104778,+2.0776,0.0378,1.022,1.001,1.043
nppa,ebi-a-GCST006061,AF (Nielsen),rs5068|rs5066+rs198411,rs5068,rs5066+rs198411,0.0043,+0.0576,+3.4699,0.000521,+0.0599874,0.0165645,+3.6214,0.000293,1.062,1.028,1.097
nppa,ebi-a-GCST006061,AF (Nielsen),secondary#1|rs5066,rs41275494,rs5066,,+0.0592,+3.5879,0.000333,,,+3.8284,0.000129,,,
nppa,ebi-a-GCST006061,AF (Nielsen),secondary#2|rs5066,rs55892892,rs5066,,+0.0591,+3.5818,0.000341,,,+3.8223,0.000132,,,
nppa,ebi-a-GCST006061,AF (Nielsen),secondary#3|rs5066,rs41275502,rs5066,,+0.0584,+3.5394,0.000401,,,+3.7819,0.000156,,,
nppa,ebi-a-GCST009541,HF (HERMES),rs5068|rs5066,rs5068,rs5066,0.0016,+0.0267,+1.5345,0.125,+0.0274682,0.0173861,+1.5799,0.114,1.028,0.9934,1.063
nppa,ebi-a-GCST009541,HF (HERMES),rs5066|rs5068,rs5066,rs5068,0.0016,+0.0187,+1.1065,0.269,+0.0197347,0.0168865,+1.1687,0.243,1.02,0.9867,1.054
nppa,ebi-a-GCST009541,HF (HERMES),rs5068|rs198411,rs5068,rs198411,0.0042,+0.0267,+1.5345,0.125,+0.025975,0.0173632,+1.4960,0.135,1.026,0.992,1.062
nppa,ebi-a-GCST009541,HF (HERMES),rs198411|rs5068,rs198411,rs5068,0.0042,-0.0075,-0.6410,0.522,-0.00633303,0.0116753,-0.5424,0.588,0.9937,0.9712,1.017
nppa,ebi-a-GCST009541,HF (HERMES),rs5068|rs5066+rs198411,rs5068,rs5066+rs198411,0.0043,+0.0267,+1.5345,0.125,+0.026175,0.0173628,+1.5075,0.132,1.027,0.9922,1.062
nppa,ebi-a-GCST009541,HF (HERMES),rs5068|lead(rs45594036),rs5068,rs45594036,0.0007,+0.0267,+1.5345,0.125,+0.0279296,0.0173937,+1.6057,0.108,1.028,0.9939,1.064
nppa,ebi-a-GCST009541,HF (HERMES),lead(rs45594036)|rs5068,rs45594036,rs5068,0.0007,+0.0683,+2.6269,0.00862,+0.0693732,0.0259906,+2.6692,0.0076,1.072,1.019,1.128
nppa,ebi-a-GCST009541,HF (HERMES),secondary#1|rs45594036,rs12744757,rs45594036,,+0.0183,+1.0828,0.279,,,-3.1913,0.00142,,,
nppa,ebi-a-GCST009541,HF (HERMES),secondary#2|rs45594036,rs5066,rs45594036,,+0.0187,+1.1065,0.269,,,-3.1337,0.00173,,,
nppa,ebi-a-GCST009541,HF (HERMES),secondary#3|rs45594036,rs198411,rs45594036,,-0.0075,-0.6410,0.522,,,-2.4746,0.0133,,,
nppa,ebi-a-GCST005838,Any stroke (MEGASTROKE),rs5068|rs5066,rs5068,rs5066,0.0016,-0.0153,-0.7887,0.43,-0.0155753,0.0193846,-0.8035,0.422,0.9845,0.9478,1.023
nppa,ebi-a-GCST005838,Any stroke (MEGASTROKE),rs5066|rs5068,rs5066,rs5068,0.0016,-0.0069,-0.3557,0.722,-0.00751047,0.0193846,-0.3874,0.698,0.9925,0.9555,1.031
nppa,ebi-a-GCST005838,Any stroke (MEGASTROKE),rs5068|rs198411,rs5068,rs198411,0.0042,-0.0153,-0.7887,0.43,-0.0178324,0.019359,-0.9211,0.357,0.9823,0.9458,1.02
nppa,ebi-a-GCST005838,Any stroke (MEGASTROKE),rs198411|rs5068,rs198411,rs5068,0.0042,-0.0243,-2.0083,0.0446,-0.0249203,0.0120744,-2.0639,0.039,0.9754,0.9526,0.9987
nppa,ebi-a-GCST005838,Any stroke (MEGASTROKE),rs5068|rs5066+rs198411,rs5068,rs5066+rs198411,0.0043,-0.0153,-0.7887,0.43,-0.0177244,0.0193585,-0.9156,0.36,0.9824,0.9459,1.02
nppa,ebi-a-GCST005838,Any stroke (MEGASTROKE),rs5068|lead(rs1801133),rs5068,rs1801133,0.0197,-0.0153,-0.7887,0.43,-0.00579102,0.0192076,-0.3015,0.763,0.9942,0.9575,1.032
nppa,ebi-a-GCST005838,Any stroke (MEGASTROKE),lead(rs1801133)|rs5068,rs1801133,rs5068,0.0197,+0.0307,+3.4886,0.000485,+0.0297249,0.00871271,+3.4117,0.000646,1.03,1.013,1.048
nppa,ebi-a-GCST005838,Any stroke (MEGASTROKE),secondary#1|rs1801133,rs60148251,rs1801133,,-0.0184,-1.8969,0.0578,,,-2.1086,0.035,,,
nppa,ebi-a-GCST005838,Any stroke (MEGASTROKE),secondary#2|rs1801133,rs113365422,rs1801133,,+0.0551,+1.4932,0.135,,,+1.9717,0.0486,,,
nppa,ebi-a-GCST005838,Any stroke (MEGASTROKE),secondary#3|rs1801133,rs1128065,rs1801133,,-0.0146,-1.6977,0.0896,,,-1.9525,0.0509,,,
nppa,ebi-a-GCST006910,Cardioembolic stroke (MEGASTROKE),rs5068|rs5066,rs5068,rs5066,0.0016,+0.102,+2.3502,0.0188,+0.103528,0.0433654,+2.3873,0.017,1.109,1.019,1.207
nppa,ebi-a-GCST006910,Cardioembolic stroke (MEGASTROKE),rs5066|rs5068,rs5066,rs5068,0.0016,+0.0376,+0.8826,0.377,+0.0415948,0.0425661,+0.9772,0.328,1.042,0.959,1.133
nppa,ebi-a-GCST006910,Cardioembolic stroke (MEGASTROKE),rs5068|rs198411,rs5068,rs198411,0.0042,+0.102,+2.3502,0.0188,+0.0993826,0.0433082,+2.2948,0.0217,1.104,1.015,1.202
nppa,ebi-a-GCST006910,Cardioembolic stroke (MEGASTROKE),rs198411|rs5068,rs198411,rs5068,0.0042,-0.027,-0.9278,0.353,-0.0225545,0.0290385,-0.7767,0.437,0.9777,0.9236,1.035
nppa,ebi-a-GCST006910,Cardioembolic stroke (MEGASTROKE),rs5068|rs5066+rs198411,rs5068,rs5066+rs198411,0.0043,+0.102,+2.3502,0.0188,+0.0998561,0.0433072,+2.3058,0.0211,1.105,1.015,1.203
nppa,ebi-a-GCST006910,Cardioembolic stroke (MEGASTROKE),rs5068|lead(rs45439601),rs5068,rs45439601,0.8656,+0.102,+2.3502,0.0188,-0.0313246,0.0159081,-1.9691,0.0489,0.9692,0.9394,0.9999
nppa,ebi-a-GCST006910,Cardioembolic stroke (MEGASTROKE),lead(rs45439601)|rs5068,rs45439601,rs5068,0.8656,+0.1466,+3.3018,0.000961,+0.0495125,0.0162746,+3.0423,0.00235,1.051,1.018,1.085
nppa,ebi-a-GCST006910,Cardioembolic stroke (MEGASTROKE),secondary#1|rs45439601,rs113365422,rs45439601,,+0.1748,+2.1343,0.0328,,,+2.2015,0.0277,,,
nppa,ebi-a-GCST006910,Cardioembolic stroke (MEGASTROKE),secondary#2|rs45439601,rs112521149,rs45439601,,+0.0661,+1.8886,0.0589,,,+2.1698,0.03,,,
nppa,ebi-a-GCST006910,Cardioembolic stroke (MEGASTROKE),secondary#3|rs45439601,rs13305986,rs45439601,,+0.1938,+2.1297,0.0332,,,+2.1499,0.0316,,,
npr3,eqtl-a-ENSG00000113389,NPR3 eQTL (eQTLGen whole blood),rs1421811|lead(rs112133948),rs1421811,rs112133948,0.0158,-0.00532599,-0.4330,0.665,+0.00022577,0.0122028,+0.0185,0.985,1,0.9766,1.024
npr3,eqtl-a-ENSG00000113389,NPR3 eQTL (eQTLGen whole blood),lead(rs112133948)|rs1421811,rs112133948,rs1421811,0.0158,+0.150486,+3.5936,0.000326,+0.148209,0.0415446,+3.5675,0.00036,1.16,1.069,1.258
npr3,eqtl-a-ENSG00000113389,NPR3 eQTL (eQTLGen whole blood),secondary#1|rs112133948,rs1173739,rs112133948,,+0.132989,+3.1972,0.00139,,,+3.2300,0.00124,,,
npr3,eqtl-a-ENSG00000113389,NPR3 eQTL (eQTLGen whole blood),secondary#2|rs112133948,rs77442522,rs112133948,,+0.101101,+2.5027,0.0123,,,+2.5493,0.0108,,,
npr3,eqtl-a-ENSG00000113389,NPR3 eQTL (eQTLGen whole blood),secondary#3|rs112133948,rs16890026,rs112133948,,+0.101101,+2.5027,0.0123,,,+2.5493,0.0108,,,
npr3,ieu-b-38,SBP (Evangelou),secondary#1|rs1421811,rs1173756,rs1421811,,+0.4984,+16.5581,1.4e-61,,,+11.5881,4.73e-31,,,
npr3,ieu-b-38,SBP (Evangelou),secondary#2|rs1421811,rs1173766,rs1421811,,+0.5204,+17.1184,1.08e-65,,,+11.5694,5.89e-31,,,
npr3,ieu-b-38,SBP (Evangelou),secondary#3|rs1421811,rs12187170,rs1421811,,+0.4529,+14.8980,3.39e-50,,,+10.4045,2.36e-25,,,
npr3,ieu-a-7,CAD (CARDIoGRAMplusC4D),rs1421811|lead(rs13167035),rs1421811,rs13167035,0.0011,-0.011844,-1.1911,0.234,-0.0109858,0.00993829,-1.1054,0.269,0.9891,0.97,1.009
npr3,ieu-a-7,CAD (CARDIoGRAMplusC4D),lead(rs13167035)|rs1421811,rs13167035,rs1421811,0.0011,-0.024366,-2.5917,0.00955,-0.0239931,0.00939649,-2.5534,0.0107,0.9763,0.9585,0.9944
npr3,ieu-a-7,CAD (CARDIoGRAMplusC4D),secondary#1|rs13167035,rs115555400,rs13167035,,+0.146721,+1.9990,0.0456,,,+2.2718,0.0231,,,
npr3,ieu-a-7,CAD (CARDIoGRAMplusC4D),secondary#2|rs13167035,rs115007338,rs13167035,,+0.145651,+1.9983,0.0457,,,+2.2711,0.0231,,,
npr3,ieu-a-7,CAD (CARDIoGRAMplusC4D),secondary#3|rs13167035,rs11953604,rs13167035,,-0.019339,-1.4296,0.153,,,-2.1308,0.0331,,,
npr3,ebi-a-GCST005195,CAD (van der Harst),rs1421811|lead(rs61634091),rs1421811,rs61634091,0.0199,-0.0125941,-1.7548,0.0793,-0.0105359,0.00710519,-1.4828,0.138,0.9895,0.9758,1.003
npr3,ebi-a-GCST005195,CAD (van der Harst),lead(rs61634091)|rs1421811,rs61634091,rs1421811,0.0199,+0.0209825,+2.0310,0.0423,+0.0184227,0.0102276,+1.8013,0.0717,1.019,0.9984,1.039
npr3,ebi-a-GCST005195,CAD (van der Harst),secondary#1|rs61634091,rs3811954,rs61634091,,+0.0256507,+1.8310,0.0671,,,+2.0919,0.0365,,,
npr3,ebi-a-GCST005195,CAD (van der Harst),secondary#2|rs61634091,rs57805134,rs61634091,,+0.00556197,+0.4795,0.632,,,-2.0298,0.0424,,,
npr3,ebi-a-GCST005195,CAD (van der Harst),secondary#3|rs61634091,rs7736041,rs61634091,,+0.00558241,+0.4819,0.63,,,-2.0258,0.0428,,,
npr3,ebi-a-GCST011364,MI (Hartiala),rs1421811|lead(rs150695877),rs1421811,rs150695877,0.0294,-0.0108888,-0.9834,0.325,-0.00626875,0.0109086,-0.5747,0.566,0.9938,0.9727,1.015
npr3,ebi-a-GCST011364,MI (Hartiala),lead(rs150695877)|rs1421811,rs150695877,rs1421811,0.0294,+0.0951628,+2.4344,0.0149,+0.0885738,0.0385125,+2.2999,0.0215,1.093,1.013,1.178
npr3,ebi-a-GCST011364,MI (Hartiala),secondary#1|rs150695877,rs1968245,rs150695877,,+0.112043,+1.6853,0.0919,,,+2.1625,0.0306,,,
npr3,ebi-a-GCST011364,MI (Hartiala),secondary#2|rs150695877,rs17538857,rs150695877,,+0.0332822,+2.1831,0.029,,,+2.1300,0.0332,,,
npr3,ebi-a-GCST011364,MI (Hartiala),secondary#3|rs150695877,rs113098876,rs150695877,,-0.0531182,-2.1903,0.0285,,,-2.0521,0.0402,,,
npr3,finn-b-I9_MI,MI (FinnGen R9),rs1421811|lead(rs151063934),rs1421811,rs151063934,0.0314,-0.0388,-2.3951,0.0166,-0.0300327,0.0159439,-1.8836,0.0596,0.9704,0.9406,1.001
npr3,finn-b-I9_MI,MI (FinnGen R9),lead(rs151063934)|rs1421811,rs151063934,rs1421811,0.0314,+0.1094,+3.0559,0.00224,+0.0942149,0.0352341,+2.6740,0.0075,1.099,1.025,1.177
npr3,finn-b-I9_MI,MI (FinnGen R9),secondary#1|rs151063934,rs13184213,rs151063934,,+0.1062,+2.6158,0.0089,,,+2.4949,0.0126,,,
npr3,finn-b-I9_MI,MI (FinnGen R9),secondary#2|rs151063934,rs1974829,rs151063934,,-0.0929,-2.2995,0.0215,,,-2.3592,0.0183,,,
npr3,finn-b-I9_MI,MI (FinnGen R9),secondary#3|rs151063934,rs1973103,rs151063934,,-0.0928,-2.2970,0.0216,,,-2.3568,0.0184,,,
