exposure,outcome,rsid,b_exp,se_exp,b_out,se_out,ratio
CORIN_eQTL,T2D,rs3792711,0.0955022,0.0122904,0.0071,0.0065,0.0743438
CORIN_eQTL,T2D,rs114446717,-0.250919,0.0398467,-0.024,0.051,0.0956484
CORIN_eQTL,T2D,rs76583360,-0.202258,0.035379,-0.07,0.035,0.346093
FURIN_eQTL,T2D,rs372098,0.264539,0.0123006,-0.0022,0.007,-0.00831635
FURIN_eQTL,T2D,rs57690203,0.190892,0.029216,-0.0048,0.0116,-0.0251451
FURIN_eQTL,T2D,rs4932366,0.187011,0.0298164,-0.0143,0.0145,-0.0764661
MME_eQTL,T2D,rs940895,0.190138,0.0138474,-0.0134,0.0097,-0.0704751
MME_eQTL,T2D,rs11719420,0.169469,0.0124227,-0.0081,0.0064,-0.0477964
MME_eQTL,T2D,rs3796268,0.165781,0.0123275,-0.0083,0.0064,-0.0500661
MME_eQTL,T2D,rs1025192,0.135301,0.0118781,-0.012,0.0062,-0.0886911
DPP4_eQTL,T2D,rs13015258,-0.187322,0.0119058,-0.0173,0.0067,0.0923543
DPP4_eQTL,T2D,rs12469968,-0.152098,0.0118345,-0.0183,0.0067,0.120317
DPP4_eQTL,T2D,rs2909445,-0.123174,0.014856,0.0117,0.0098,-0.0949876
CORIN_eQTL,T2D_FINN,rs10049713,0.595199,0.0116659,0.0024,0.011,0.00403226
CORIN_eQTL,T2D_FINN,rs77880908,0.32032,0.0185198,0.0296,0.0148,0.0924076
CORIN_eQTL,T2D_FINN,rs17601404,0.319176,0.0189799,0.0363,0.015,0.11373
CORIN_eQTL,T2D_FINN,rs3792711,0.0955022,0.0122904,0.0188,0.0109,0.196854
CORIN_eQTL,T2D_FINN,rs114446717,-0.250919,0.0398467,-0.0349,0.0429,0.139089
FURIN_eQTL,T2D_FINN,rs372098,0.264539,0.0123006,0.0101,0.0112,0.0381796
FURIN_eQTL,T2D_FINN,rs57690203,0.190892,0.029216,0.0041,0.0195,0.0214781
FURIN_eQTL,T2D_FINN,rs4932366,0.187011,0.0298164,0.0128,0.0243,0.0684452
MME_eQTL,T2D_FINN,rs940895,0.190138,0.0138474,-0.0056,0.013,-0.0294523
MME_eQTL,T2D_FINN,rs11719420,0.169469,0.0124227,0.018,0.0114,0.106214
MME_eQTL,T2D_FINN,rs3796268,0.165781,0.0123275,0.019,0.0112,0.114609
MME_eQTL,T2D_FINN,rs1025192,0.135301,0.0118781,0.0003,0.0108,0.00221728
DPP4_eQTL,T2D_FINN,rs13015258,-0.187322,0.0119058,-0.0153,0.0109,0.0816775
DPP4_eQTL,T2D_FINN,rs12469968,-0.152098,0.0118345,-0.0114,0.0109,0.0749517
DPP4_eQTL,T2D_FINN,rs2909445,-0.123174,0.014856,0.0111,0.0135,-0.0901164
