harmonized SNPs across SCALLOP/SBP/AF: 491

--- instruments p<5e-06 r2<0.2: k=52 [rs198389, rs198379, rs549596, rs632793, rs6668659, rs6676300, rs4846054, rs198391, rs2001584, rs12735869, rs4846045, rs6541003, rs12402363, rs6668352, rs11121836, rs34593006, rs1476413, rs4845881, rs11121826, rs6668699, rs4845876, rs7415914, rs4846041, rs198358, rs9792894, rs144795462, rs17421560, rs72640206, rs55929441, rs72640253, rs72640262, rs12565990, rs72640221, rs141567582, rs55967531, rs55890341, rs2184227, rs11121832, rs17037425, rs12076233, rs17350396, rs12141216, rs61776071, rs11559040, rs12562784, rs59375726, rs5063, rs12569355, rs17037397, rs3737965, rs577040, rs198373] ---
MVMR-IVW: k=52 df=50
  NT-proBNP direct (adj SBP): b=-0.03908 se=0.01648 z=-2.37 p=0.01771
  SBP direct (adj NT-proBNP): b=-0.03529 se=0.00601 z=-5.87 p=4.399e-09
  Q=20.81 (df=50, p=1); mean F: NP=69.5 SBP=140.9
    rs34593006 bx=0.1628(se 0.0163) bm=-0.395(se 0.032) by=0.0057(se 0.0076)
    rs1476413 bx=0.1614(se 0.0174) bm=-0.350(se 0.034) by=0.0036(se 0.0080)
    rs4845881 bx=-0.1484(se 0.0167) bm=0.091(se 0.032) by=0.0041(se 0.0076)
    rs11121826 bx=-0.1401(se 0.0164) bm=0.304(se 0.032) by=-0.0086(se 0.0076)
    rs6668699 bx=-0.1410(se 0.0167) bm=0.090(se 0.032) by=0.0035(se 0.0076)
    rs4845876 bx=-0.1381(se 0.0174) bm=0.398(se 0.035) by=-0.0080(se 0.0082)
    rs7415914 bx=0.1448(se 0.0187) bm=-0.226(se 0.036) by=0.0048(se 0.0088)
    rs4846041 bx=-0.1224(se 0.0174) bm=0.051(se 0.033) by=-0.0017(se 0.0080)
    rs198358 bx=0.1326(se 0.0189) bm=-0.540(se 0.035) by=0.0211(se 0.0084)
    rs9792894 bx=-0.1233(se 0.0177) bm=0.058(se 0.034) by=-0.0022(se 0.0080)
    rs144795462 bx=0.1802(se 0.0266) bm=-0.801(se 0.049) by=0.0186(se 0.0115)
    rs17421560 bx=0.1767(se 0.0262) bm=-0.769(se 0.049) by=0.0172(se 0.0116)
    rs72640206 bx=0.1730(se 0.0258) bm=-0.758(se 0.049) by=0.0194(se 0.0116)
    rs55929441 bx=0.1749(se 0.0261) bm=-0.753(se 0.049) by=0.0192(se 0.0117)
    rs72640253 bx=0.1773(se 0.0265) bm=-0.791(se 0.050) by=0.0183(se 0.0115)
    rs72640262 bx=0.1772(se 0.0265) bm=-0.795(se 0.049) by=0.0187(se 0.0115)
    rs12565990 bx=0.1771(se 0.0265) bm=-0.788(se 0.049) by=0.0182(se 0.0115)
    rs72640221 bx=0.1721(se 0.0259) bm=-0.751(se 0.049) by=0.0190(se 0.0115)
    rs141567582 bx=0.1727(se 0.0260) bm=-0.753(se 0.049) by=0.0201(se 0.0116)
    rs55967531 bx=0.1720(se 0.0260) bm=-0.758(se 0.049) by=0.0193(se 0.0116)
    rs55890341 bx=0.1714(se 0.0260) bm=-0.754(se 0.049) by=0.0199(se 0.0116)
    rs2184227 bx=0.1691(se 0.0259) bm=-0.755(se 0.049) by=0.0195(se 0.0115)
    rs11121832 bx=-0.1154(se 0.0180) bm=-0.129(se 0.035) by=0.0033(se 0.0084)
    rs17037425 bx=0.1474(se 0.0233) bm=-0.880(se 0.043) by=0.0239(se 0.0101)
    rs12076233 bx=-0.1135(se 0.0189) bm=0.171(se 0.037) by=-0.0018(se 0.0088)
    rs17350396 bx=0.1194(se 0.0205) bm=0.014(se 0.041) by=-0.0056(se 0.0097)
    rs12141216 bx=0.1140(se 0.0203) bm=0.012(se 0.041) by=-0.0070(se 0.0097)
    rs61776071 bx=0.1136(se 0.0203) bm=0.012(se 0.041) by=-0.0068(se 0.0097)
    rs11559040 bx=0.1096(se 0.0199) bm=-0.071(se 0.040) by=-0.0033(se 0.0095)
    rs12562784 bx=0.1501(se 0.0273) bm=-0.569(se 0.050) by=0.0129(se 0.0117)
    rs59375726 bx=0.1107(se 0.0203) bm=0.013(se 0.041) by=-0.0062(se 0.0098)
    rs5063 bx=0.2114(se 0.0393) bm=-0.193(se 0.069) by=-0.0249(se 0.0162)
    rs12569355 bx=0.1339(se 0.0257) bm=-0.539(se 0.047) by=0.0153(se 0.0112)
    rs17037397 bx=0.2060(se 0.0408) bm=-0.225(se 0.070) by=-0.0263(se 0.0165)
    rs3737965 bx=0.2062(se 0.0409) bm=-0.228(se 0.070) by=-0.0267(se 0.0165)
    rs577040 bx=0.1216(se 0.0251) bm=-0.291(se 0.045) by=0.0256(se 0.0113)
    rs198373 bx=0.1187(se 0.0251) bm=-0.291(se 0.045) by=0.0258(se 0.0113)

--- instruments p<5e-06 r2<0.1: k=47 [rs198389, rs198379, rs549596, rs632793, rs6668659, rs6676300, rs198391, rs12079693, rs12735869, rs4846045, rs12402363, rs6668352, rs11121836, rs1476413, rs4845881, rs11121826, rs6668699, rs4845876, rs7415914, rs4846041, rs198358, rs9792894, rs144795462, rs17421560, rs55929441, rs72640253, rs72640262, rs72640221, rs141567582, rs55967531, rs55890341, rs2184227, rs11121832, rs17037425, rs12076233, rs17350396, rs12141216, rs61776071, rs11559040, rs12562784, rs59375726, rs5063, rs12569355, rs17037397, rs3737965, rs577040, rs198373] ---
MVMR-IVW: k=47 df=45
  NT-proBNP direct (adj SBP): b=-0.04153 se=0.01692 z=-2.45 p=0.0141
  SBP direct (adj NT-proBNP): b=-0.03580 se=0.00623 z=-5.75 p=9.157e-09
  Q=19.91 (df=45, p=1); mean F: NP=68.0 SBP=135.3
    rs198389 bx=0.2122(se 0.0158) bm=-0.458(se 0.031) by=0.0083(se 0.0074)
    rs198379 bx=0.2135(se 0.0159) bm=-0.461(se 0.031) by=0.0081(se 0.0074)
    rs549596 bx=0.2085(se 0.0158) bm=-0.448(se 0.031) by=0.0028(se 0.0073)
    rs632793 bx=0.1983(se 0.0161) bm=-0.470(se 0.031) by=0.0126(se 0.0075)
    rs6668659 bx=0.1875(se 0.0164) bm=-0.546(se 0.032) by=0.0129(se 0.0076)
    rs6676300 bx=0.1788(se 0.0162) bm=-0.527(se 0.032) by=0.0067(se 0.0075)
    rs198391 bx=-0.1722(se 0.0160) bm=0.428(se 0.030) by=-0.0141(se 0.0073)
    rs12079693 bx=-0.1727(se 0.0162) bm=0.341(se 0.031) by=-0.0087(se 0.0074)
    rs12735869 bx=-0.1719(se 0.0162) bm=0.340(se 0.031) by=-0.0083(se 0.0074)
    rs4846045 bx=-0.1718(se 0.0162) bm=0.340(se 0.031) by=-0.0080(se 0.0073)
    rs12402363 bx=0.1827(se 0.0174) bm=-0.397(se 0.034) by=0.0004(se 0.0081)
    rs6668352 bx=0.1836(se 0.0177) bm=-0.406(se 0.034) by=0.0011(se 0.0082)
    rs11121836 bx=0.1671(se 0.0164) bm=-0.403(se 0.032) by=0.0052(se 0.0076)
    rs1476413 bx=0.1614(se 0.0174) bm=-0.350(se 0.034) by=0.0036(se 0.0080)
    rs4845881 bx=-0.1484(se 0.0167) bm=0.091(se 0.032) by=0.0041(se 0.0076)
    rs11121826 bx=-0.1401(se 0.0164) bm=0.304(se 0.032) by=-0.0086(se 0.0076)
    rs6668699 bx=-0.1410(se 0.0167) bm=0.090(se 0.032) by=0.0035(se 0.0076)
    rs4845876 bx=-0.1381(se 0.0174) bm=0.398(se 0.035) by=-0.0080(se 0.0082)
    rs7415914 bx=0.1448(se 0.0187) bm=-0.226(se 0.036) by=0.0048(se 0.0088)
    rs4846041 bx=-0.1224(se 0.0174) bm=0.051(se 0.033) by=-0.0017(se 0.0080)
    rs198358 bx=0.1326(se 0.0189) bm=-0.540(se 0.035) by=0.0211(se 0.0084)
    rs9792894 bx=-0.1233(se 0.0177) bm=0.058(se 0.034) by=-0.0022(se 0.0080)
    rs144795462 bx=0.1802(se 0.0266) bm=-0.801(se 0.049) by=0.0186(se 0.0115)
    rs17421560 bx=0.1767(se 0.0262) bm=-0.769(se 0.049) by=0.0172(se 0.0116)
    rs55929441 bx=0.1749(se 0.0261) bm=-0.753(se 0.049) by=0.0192(se 0.0117)
    rs72640253 bx=0.1773(se 0.0265) bm=-0.791(se 0.050) by=0.0183(se 0.0115)
    rs72640262 bx=0.1772(se 0.0265) bm=-0.795(se 0.049) by=0.0187(se 0.0115)
    rs72640221 bx=0.1721(se 0.0259) bm=-0.751(se 0.049) by=0.0190(se 0.0115)
    rs141567582 bx=0.1727(se 0.0260) bm=-0.753(se 0.049) by=0.0201(se 0.0116)
    rs55967531 bx=0.1720(se 0.0260) bm=-0.758(se 0.049) by=0.0193(se 0.0116)
    rs55890341 bx=0.1714(se 0.0260) bm=-0.754(se 0.049) by=0.0199(se 0.0116)
    rs2184227 bx=0.1691(se 0.0259) bm=-0.755(se 0.049) by=0.0195(se 0.0115)
    rs11121832 bx=-0.1154(se 0.0180) bm=-0.129(se 0.035) by=0.0033(se 0.0084)
    rs17037425 bx=0.1474(se 0.0233) bm=-0.880(se 0.043) by=0.0239(se 0.0101)
    rs12076233 bx=-0.1135(se 0.0189) bm=0.171(se 0.037) by=-0.0018(se 0.0088)
    rs17350396 bx=0.1194(se 0.0205) bm=0.014(se 0.041) by=-0.0056(se 0.0097)
    rs12141216 bx=0.1140(se 0.0203) bm=0.012(se 0.041) by=-0.0070(se 0.0097)
    rs61776071 bx=0.1136(se 0.0203) bm=0.012(se 0.041) by=-0.0068(se 0.0097)
    rs11559040 bx=0.1096(se 0.0199) bm=-0.071(se 0.040) by=-0.0033(se 0.0095)
    rs12562784 bx=0.1501(se 0.0273) bm=-0.569(se 0.050) by=0.0129(se 0.0117)
    rs59375726 bx=0.1107(se 0.0203) bm=0.013(se 0.041) by=-0.0062(se 0.0098)
    rs5063 bx=0.2114(se 0.0393) bm=-0.193(se 0.069) by=-0.0249(se 0.0162)
    rs12569355 bx=0.1339(se 0.0257) bm=-0.539(se 0.047) by=0.0153(se 0.0112)
    rs17037397 bx=0.2060(se 0.0408) bm=-0.225(se 0.070) by=-0.0263(se 0.0165)
    rs3737965 bx=0.2062(se 0.0409) bm=-0.228(se 0.070) by=-0.0267(se 0.0165)
    rs577040 bx=0.1216(se 0.0251) bm=-0.291(se 0.045) by=0.0256(se 0.0113)
    rs198373 bx=0.1187(se 0.0251) bm=-0.291(se 0.045) by=0.0258(se 0.0113)

--- instruments p<0.0001 r2<0.2: k=62 [rs198389, rs198379, rs549596, rs632793, rs6668659, rs6676300, rs4846054, rs198391, rs2001584, rs12735869, rs4846045, rs6541003, rs12402363, rs6668352, rs11121836, rs34593006, rs1476413, rs4845881, rs11121826, rs6668699, rs4845876, rs7415914, rs4846041, rs198358, rs9792894, rs144795462, rs17421560, rs72640206, rs55929441, rs72640253, rs72640262, rs12565990, rs72640221, rs141567582, rs55967531, rs55890341, rs2184227, rs11121832, rs17037425, rs12076233, rs17350396, rs12141216, rs61776071, rs11559040, rs12562784, rs59375726, rs5063, rs12569355, rs17037397, rs3737965, rs577040, rs198373, rs17375901, rs72640291, rs72640286, rs72640280, rs143127407, rs55892892, rs77685402, rs145790937, rs72640296, rs1208984] ---
MVMR-IVW: k=62 df=60
  NT-proBNP direct (adj SBP): b=-0.06141 se=0.01542 z=-3.98 p=6.812e-05
  SBP direct (adj NT-proBNP): b=-0.04127 se=0.00549 z=-7.51 p=5.747e-14
  Q=58.90 (df=60, p=0.516); mean F: NP=61.3 SBP=131.5
    rs198389 bx=0.2122(se 0.0158) bm=-0.458(se 0.031) by=0.0083(se 0.0074)
    rs198379 bx=0.2135(se 0.0159) bm=-0.461(se 0.031) by=0.0081(se 0.0074)
    rs549596 bx=0.2085(se 0.0158) bm=-0.448(se 0.031) by=0.0028(se 0.0073)
    rs632793 bx=0.1983(se 0.0161) bm=-0.470(se 0.031) by=0.0126(se 0.0075)
    rs6668659 bx=0.1875(se 0.0164) bm=-0.546(se 0.032) by=0.0129(se 0.0076)
    rs6676300 bx=0.1788(se 0.0162) bm=-0.527(se 0.032) by=0.0067(se 0.0075)
    rs4846054 bx=-0.1745(se 0.0161) bm=0.376(se 0.031) by=-0.0110(se 0.0073)
    rs198391 bx=-0.1722(se 0.0160) bm=0.428(se 0.030) by=-0.0141(se 0.0073)
    rs2001584 bx=-0.1729(se 0.0162) bm=0.342(se 0.031) by=-0.0086(se 0.0074)
    rs12735869 bx=-0.1719(se 0.0162) bm=0.340(se 0.031) by=-0.0083(se 0.0074)
    rs4846045 bx=-0.1718(se 0.0162) bm=0.340(se 0.031) by=-0.0080(se 0.0073)
    rs6541003 bx=-0.1681(se 0.0160) bm=0.394(se 0.031) by=-0.0118(se 0.0073)
    rs12402363 bx=0.1827(se 0.0174) bm=-0.397(se 0.034) by=0.0004(se 0.0081)
    rs6668352 bx=0.1836(se 0.0177) bm=-0.406(se 0.034) by=0.0011(se 0.0082)
    rs11121836 bx=0.1671(se 0.0164) bm=-0.403(se 0.032) by=0.0052(se 0.0076)
    rs34593006 bx=0.1628(se 0.0163) bm=-0.395(se 0.032) by=0.0057(se 0.0076)
    rs1476413 bx=0.1614(se 0.0174) bm=-0.350(se 0.034) by=0.0036(se 0.0080)
    rs4845881 bx=-0.1484(se 0.0167) bm=0.091(se 0.032) by=0.0041(se 0.0076)
    rs11121826 bx=-0.1401(se 0.0164) bm=0.304(se 0.032) by=-0.0086(se 0.0076)
    rs6668699 bx=-0.1410(se 0.0167) bm=0.090(se 0.032) by=0.0035(se 0.0076)
    rs4845876 bx=-0.1381(se 0.0174) bm=0.398(se 0.035) by=-0.0080(se 0.0082)
    rs7415914 bx=0.1448(se 0.0187) bm=-0.226(se 0.036) by=0.0048(se 0.0088)
    rs4846041 bx=-0.1224(se 0.0174) bm=0.051(se 0.033) by=-0.0017(se 0.0080)
    rs198358 bx=0.1326(se 0.0189) bm=-0.540(se 0.035) by=0.0211(se 0.0084)
    rs9792894 bx=-0.1233(se 0.0177) bm=0.058(se 0.034) by=-0.0022(se 0.0080)
    rs144795462 bx=0.1802(se 0.0266) bm=-0.801(se 0.049) by=0.0186(se 0.0115)
    rs17421560 bx=0.1767(se 0.0262) bm=-0.769(se 0.049) by=0.0172(se 0.0116)
    rs72640206 bx=0.1730(se 0.0258) bm=-0.758(se 0.049) by=0.0194(se 0.0116)
    rs55929441 bx=0.1749(se 0.0261) bm=-0.753(se 0.049) by=0.0192(se 0.0117)
    rs72640253 bx=0.1773(se 0.0265) bm=-0.791(se 0.050) by=0.0183(se 0.0115)
    rs72640262 bx=0.1772(se 0.0265) bm=-0.795(se 0.049) by=0.0187(se 0.0115)
    rs12565990 bx=0.1771(se 0.0265) bm=-0.788(se 0.049) by=0.0182(se 0.0115)
    rs72640221 bx=0.1721(se 0.0259) bm=-0.751(se 0.049) by=0.0190(se 0.0115)
    rs141567582 bx=0.1727(se 0.0260) bm=-0.753(se 0.049) by=0.0201(se 0.0116)
    rs55967531 bx=0.1720(se 0.0260) bm=-0.758(se 0.049) by=0.0193(se 0.0116)
    rs55890341 bx=0.1714(se 0.0260) bm=-0.754(se 0.049) by=0.0199(se 0.0116)
    rs2184227 bx=0.1691(se 0.0259) bm=-0.755(se 0.049) by=0.0195(se 0.0115)
    rs11121832 bx=-0.1154(se 0.0180) bm=-0.129(se 0.035) by=0.0033(se 0.0084)
    rs17037425 bx=0.1474(se 0.0233) bm=-0.880(se 0.043) by=0.0239(se 0.0101)
    rs12076233 bx=-0.1135(se 0.0189) bm=0.171(se 0.037) by=-0.0018(se 0.0088)
    rs17350396 bx=0.1194(se 0.0205) bm=0.014(se 0.041) by=-0.0056(se 0.0097)
    rs12141216 bx=0.1140(se 0.0203) bm=0.012(se 0.041) by=-0.0070(se 0.0097)
    rs61776071 bx=0.1136(se 0.0203) bm=0.012(se 0.041) by=-0.0068(se 0.0097)
    rs11559040 bx=0.1096(se 0.0199) bm=-0.071(se 0.040) by=-0.0033(se 0.0095)
    rs12562784 bx=0.1501(se 0.0273) bm=-0.569(se 0.050) by=0.0129(se 0.0117)
    rs59375726 bx=0.1107(se 0.0203) bm=0.013(se 0.041) by=-0.0062(se 0.0098)
    rs5063 bx=0.2114(se 0.0393) bm=-0.193(se 0.069) by=-0.0249(se 0.0162)
    rs12569355 bx=0.1339(se 0.0257) bm=-0.539(se 0.047) by=0.0153(se 0.0112)
    rs17037397 bx=0.2060(se 0.0408) bm=-0.225(se 0.070) by=-0.0263(se 0.0165)
    rs3737965 bx=0.2062(se 0.0409) bm=-0.228(se 0.070) by=-0.0267(se 0.0165)
    rs577040 bx=0.1216(se 0.0251) bm=-0.291(se 0.045) by=0.0256(se 0.0113)
    rs198373 bx=0.1187(se 0.0251) bm=-0.291(se 0.045) by=0.0258(se 0.0113)
    rs17375901 bx=0.1468(se 0.0329) bm=-1.155(se 0.065) by=0.0520(se 0.0163)
    rs72640291 bx=0.1479(se 0.0333) bm=-0.264(se 0.065) by=-0.0284(se 0.0152)
    rs72640286 bx=0.1475(se 0.0335) bm=-0.304(se 0.065) by=-0.0312(se 0.0151)
    rs72640280 bx=0.1468(se 0.0335) bm=-0.312(se 0.065) by=-0.0304(se 0.0152)
    rs143127407 bx=0.1435(se 0.0330) bm=-0.292(se 0.065) by=-0.0331(se 0.0150)
    rs55892892 bx=0.1463(se 0.0337) bm=-1.246(se 0.066) by=0.0591(se 0.0165)
    rs77685402 bx=0.1447(se 0.0334) bm=-0.311(se 0.065) by=-0.0312(se 0.0151)
    rs145790937 bx=0.1563(se 0.0369) bm=-0.280(se 0.066) by=-0.0310(se 0.0165)
    rs72640296 bx=0.1354(se 0.0320) bm=-0.244(se 0.064) by=-0.0294(se 0.0145)
    rs1208984 bx=0.0687(se 0.0175) bm=-0.111(se 0.032) by=-0.0027(se 0.0077)

Univariable IVW (same IVs, NT-proBNP only): b=0.04674 se=0.00759 z=6.16 p=7.404e-10
