outcome,outcome_id,tier,set,method,snp,logOR,SE,OR,lo,hi,p,Q,Qp
心肌梗死 (UKB+C4D),ieu-a-798,发现,SetA_SCALLOP_NTproBNP_N21758,Wald(rs5068),rs5068,0.08654269972451792,0.1631115702479339,1.0903979264148234,0.7920300246604747,1.5011648560159447,0.5957142655913903,,
心肌梗死 (UKB+C4D),ieu-a-798,发现,SetA_SCALLOP_NTproBNP_N21758,IVW(2SNP),rs198389+rs5068,0.03520914860610499,0.04808425833521012,1.0358363298703814,0.9426728344632892,1.138207088454214,0.4640229659212798,0.10847166598906445,0.7418908762737941
心肌梗死 (UKB+C4D),ieu-a-798,发现,SetB_Sun2018_NTproBNP_N3301,Wald(rs198389),rs198389,0.0219313224267212,0.03639400136332652,1.0221735816587285,0.9517994575214859,1.097751026000608,0.5467693864471883,,
心肌梗死 (UKB+C4D),ieu-a-798,发现,SetB_Sun2018_NTproBNP_N3301,Wald(rs2175388),rs2175388,0.028613497267759566,0.10955245901639345,1.0290267959367938,0.8301828324375232,1.2754975234152806,0.7939495757181858,,
心肌梗死 (UKB+C4D),ieu-a-798,发现,SetB_Sun2018_NTproBNP_N3301,IVW(2SNP),rs198389+rs2175388,0.022595476768910154,0.03453804260730282,1.0228526881722648,0.955902759850759,1.0944916843472359,0.5129701054434532,0.003350635898882059,0.9538404881739876
心肌梗死 (UKB+C4D),ieu-a-798,发现,SetC_Folkersen2018_BNP_N3394,Wald(rs198379),rs198379,0.0217292578125,0.041908984375,1.021967057414607,0.9413762755622206,1.1094571783391407,0.6041186239996086,,
心肌梗死 (UKB+C4D),ieu-a-798,发现,SetC_Folkersen2018_BNP_N3394,Wald(rs6557662),rs6557662,0.05007112068965517,0.05378448275862068,1.0513458661602206,0.9461572802878369,1.1682287430647105,0.35187503844070744,,
心肌梗死 (UKB+C4D),ieu-a-798,发现,SetC_Folkersen2018_BNP_N3394,IVW(2SNP),rs198379+rs6557662,0.03243632782597855,0.03305811768619507,1.032968119724149,0.9681603226579256,1.1021140934975586,0.32649855744037226,0.17277653599466308,0.6776559095792309
心衰 (HERMES),ebi-a-GCST009541,发现,SetA_SCALLOP_NTproBNP_N21758,Wald(rs198389),rs198389,-0.00706880301602262,0.037700282752120645,0.9929561222069401,0.9222293282701495,1.0691070327134782,0.8512686236882057,,
心衰 (HERMES),ebi-a-GCST009541,发现,SetA_SCALLOP_NTproBNP_N21758,Wald(rs5068),rs5068,0.18388429752066118,0.11983471074380164,1.2018767549307856,0.9502865241076114,1.520075995394604,0.12491093167128442,,
心衰 (HERMES),ebi-a-GCST009541,发现,SetA_SCALLOP_NTproBNP_N21758,IVW(2SNP),rs198389+rs5068,0.010128604909813196,0.035962574215496895,1.0101800728478931,0.9414274040468865,1.0839537655185487,0.7782173158318633,2.3104708443327815,0.12850511879482573
心衰 (HERMES),ebi-a-GCST009541,发现,SetB_Sun2018_NTproBNP_N3301,Wald(rs198389),rs198389,-0.005112474437627812,0.027266530334014997,0.9949005720171188,0.9431264859584827,1.0495168600784723,0.8512686236882057,,
心衰 (HERMES),ebi-a-GCST009541,发现,SetC_Folkersen2018_BNP_N3394,Wald(rs198379),rs198379,-0.001171875,0.03125,0.9988288113773655,0.9394864573259439,1.0619195057661108,0.9700863401481805,,
心衰 (HERMES),ebi-a-GCST009541,发现,SetC_Folkersen2018_BNP_N3394,Wald(rs6557662),rs6557662,0.02068965517241379,0.0375,1.0209051698298444,0.948559894714338,1.0987681132135356,0.5811373696666002,,
心衰 (HERMES),ebi-a-GCST009541,发现,SetC_Folkersen2018_BNP_N3394,IVW(2SNP),rs198379+rs6557662,0.00778776851328434,0.024006914987417995,1.0078181720564972,0.9614951243335967,1.056372978106644,0.7456375754597071,0.2005724334077308,0.6542591904975563
全卒中 (MEGASTROKE),ebi-a-GCST005838,发现,SetA_SCALLOP_NTproBNP_N21758,Wald(rs198389),rs198389,-0.088124410933082,0.03958529688972667,0.9156469531449888,0.8472905636222633,0.9895180930841555,0.02600142562064378,,
全卒中 (MEGASTROKE),ebi-a-GCST005838,发现,SetA_SCALLOP_NTproBNP_N21758,Wald(rs5068),rs5068,-0.10537190082644628,0.13360881542699726,0.8999897534065717,0.6926398034461851,1.1694123730787782,0.4303108731239689,,
全卒中 (MEGASTROKE),ebi-a-GCST005838,发现,SetA_SCALLOP_NTproBNP_N21758,IVW(2SNP),rs198389+rs5068,-0.08951622830640302,0.037954501405541095,0.9143734262717719,0.8488209152168706,0.9849884088428291,0.018348260673321404,0.015319350029176263,0.901496307309917
全卒中 (MEGASTROKE),ebi-a-GCST005838,发现,SetB_Sun2018_NTproBNP_N3301,Wald(rs198389),rs198389,-0.06373551465576006,0.028629856850715747,0.9382531209167179,0.887053454527431,0.9924079709254302,0.02600142562064378,,
全卒中 (MEGASTROKE),ebi-a-GCST005838,发现,SetB_Sun2018_NTproBNP_N3301,Wald(rs2175388),rs2175388,-0.006010928961748634,0.09016393442622951,0.9940071005289923,0.8329911672298169,1.186147170309019,0.9468470713992698,,
全卒中 (MEGASTROKE),ebi-a-GCST005838,发现,SetB_Sun2018_NTproBNP_N3301,IVW(2SNP),rs198389+rs2175388,-0.05844844806345901,0.027287253936323013,0.9432268643177804,0.8941055322270794,0.9950468770221161,0.03219598836673665,0.37233790597507715,0.541732658918531
全卒中 (MEGASTROKE),ebi-a-GCST005838,发现,SetC_Folkersen2018_BNP_N3394,Wald(rs198379),rs198379,-0.073828125,0.032421875,0.9288313230064046,0.8716432986000533,0.9897714213869998,0.022779751193857223,,
全卒中 (MEGASTROKE),ebi-a-GCST005838,发现,SetC_Folkersen2018_BNP_N3394,Wald(rs6557662),rs6557662,0.05560344827586207,0.039224137931034485,1.0571783746960375,0.9789488724557207,1.1416593321379074,0.15631271641887823,,
全卒中 (MEGASTROKE),ebi-a-GCST005838,发现,SetC_Folkersen2018_BNP_N3394,IVW(2SNP),rs198379+rs6557662,-0.02129113501603997,0.02498997869367424,0.9789339211355788,0.9321407156318483,1.0280761325829344,0.39422135097008404,6.468881015186788,0.010977963261367463
缺血性卒中 (MEGASTROKE),ebi-a-GCST006908,发现,SetA_SCALLOP_NTproBNP_N21758,Wald(rs198389),rs198389,-0.04382657869934024,0.04853911404335533,0.957119928064025,0.8702600166928196,1.052649253241101,0.3665722715103419,,
缺血性卒中 (MEGASTROKE),ebi-a-GCST006908,发现,SetA_SCALLOP_NTproBNP_N21758,Wald(rs5068),rs5068,-0.0006887052341597796,0.15495867768595042,0.9993115318688555,0.7375600919343155,1.3539554927749704,0.996453858070977,,
缺血性卒中 (MEGASTROKE),ebi-a-GCST006908,发现,SetA_SCALLOP_NTproBNP_N21758,IVW(2SNP),rs198389+rs5068,-0.039972138405994825,0.04631985561650864,0.9608162086505201,0.8774291607293917,1.0521279986160321,0.38815998450614675,0.0705726401093314,0.7905048345738471
缺血性卒中 (MEGASTROKE),ebi-a-GCST006908,发现,SetB_Sun2018_NTproBNP_N3301,Wald(rs198389),rs198389,-0.03169734151329243,0.03510565780504431,0.9687997531788187,0.9043811052619815,1.0378069115977981,0.3665722715103419,,
缺血性卒中 (MEGASTROKE),ebi-a-GCST006908,发现,SetB_Sun2018_NTproBNP_N3301,Wald(rs2175388),rs2175388,0.006010928961748634,0.09672131147540984,1.00602903084678,0.8322995711159479,1.2160217859412021,0.9504458542028231,,
缺血性卒中 (MEGASTROKE),ebi-a-GCST006908,发现,SetB_Sun2018_NTproBNP_N3301,IVW(2SNP),rs198389+rs2175388,-0.027307986272388483,0.032999262597907725,0.9730615057834884,0.9121174256834839,1.0380776283581254,0.4079348970958483,0.13430219598044674,0.7140124247334746
缺血性卒中 (MEGASTROKE),ebi-a-GCST006908,发现,SetC_Folkersen2018_BNP_N3394,Wald(rs198379),rs198379,-0.033984375,0.040234375,0.9665866074352569,0.8932902258099445,1.0458971145979805,0.39830059030236975,,
缺血性卒中 (MEGASTROKE),ebi-a-GCST006908,发现,SetC_Folkersen2018_BNP_N3394,Wald(rs6557662),rs6557662,0.0939655172413793,0.0521551724137931,1.0985218651997444,0.991775388032085,1.216757647834356,0.07160003395377057,,
缺血性卒中 (MEGASTROKE),ebi-a-GCST006908,发现,SetC_Folkersen2018_BNP_N3394,IVW(2SNP),rs198379+rs6557662,0.013751853317099437,0.03185675050277917,1.0138468449896467,0.9524788493179025,1.0791687666676892,0.665975573871149,3.773058229438785,0.052084321547430146
冠心病 (FinnGen R9),finn-b-I9_CHD,复制,SetA_SCALLOP_NTproBNP_N21758,Wald(rs198389),rs198389,-0.04382657869934024,0.06314797360980208,0.957119928064025,0.8456949133153512,1.0832258090639455,0.4876634889643041,,
冠心病 (FinnGen R9),finn-b-I9_CHD,复制,SetA_SCALLOP_NTproBNP_N21758,Wald(rs5068),rs5068,-0.2472451790633609,0.15564738292011018,0.7809491976641313,0.5756162634521199,1.0595281753761303,0.11217432081802436,,
冠心病 (FinnGen R9),finn-b-I9_CHD,复制,SetA_SCALLOP_NTproBNP_N21758,IVW(2SNP),rs198389+rs5068,-0.07257727123855547,0.058515463180500306,0.9299938821046634,0.8292218242907072,1.0430123706547445,0.21486102613015468,1.4666285487157074,0.22587838701292462
冠心病 (FinnGen R9),finn-b-I9_CHD,复制,SetB_Sun2018_NTproBNP_N3301,Wald(rs198389),rs198389,-0.03169734151329243,0.04567143830947512,0.9687997531788187,0.8858449350216723,1.0595228630351403,0.4876634889643039,,
冠心病 (FinnGen R9),finn-b-I9_CHD,复制,SetB_Sun2018_NTproBNP_N3301,Wald(rs2175388),rs2175388,0.06612021857923497,0.09016393442622951,1.068355145583818,0.8952958175673404,1.2748665800726486,0.46335514926959664,,
冠心病 (FinnGen R9),finn-b-I9_CHD,复制,SetB_Sun2018_NTproBNP_N3301,IVW(2SNP),rs198389+rs2175388,-0.011724025460429994,0.04074267397390428,0.9883444331281438,0.9124886185280202,1.070506194445642,0.7735320815991076,0.9366506143957141,0.33314070909537763
冠心病 (FinnGen R9),finn-b-I9_CHD,复制,SetC_Folkersen2018_BNP_N3394,Wald(rs198379),rs198379,-0.012890625,0.05234375,0.9871921032519605,0.8909344929797749,1.0938494989273613,0.8054742712009075,,
冠心病 (FinnGen R9),finn-b-I9_CHD,复制,SetC_Folkersen2018_BNP_N3394,Wald(rs6557662),rs6557662,0.060775862068965514,0.06163793103448276,1.0626607049205339,0.9417320595050608,1.1991179044872875,0.3241262497417843,,
冠心病 (FinnGen R9),finn-b-I9_CHD,复制,SetC_Folkersen2018_BNP_N3394,IVW(2SNP),rs198379+rs6557662,0.017975454299369618,0.039898246236592994,1.018137985172897,0.9415525584077423,1.1009528332703242,0.6523265673545207,0.8298923508075797,0.36230365873472015
心肌梗死 (FinnGen R9),finn-b-I9_MI,复制,SetA_SCALLOP_NTproBNP_N21758,Wald(rs198389),rs198389,-0.03722902921771914,0.07634307257304429,0.9634554506302287,0.8295586625646006,1.1189641519496656,0.6257947120879495,,
心肌梗死 (FinnGen R9),finn-b-I9_MI,复制,SetA_SCALLOP_NTproBNP_N21758,Wald(rs5068),rs5068,-0.1990358126721763,0.18663911845730027,0.8195205435868131,0.568446268455498,1.1814905974941843,0.28623352459337004,,
心肌梗死 (FinnGen R9),finn-b-I9_MI,复制,SetA_SCALLOP_NTproBNP_N21758,IVW(2SNP),rs198389+rs5068,-0.06042127028155154,0.07066033147545038,0.9413678797291372,0.8196191318542813,1.0812015612433052,0.39249876001171247,0.6438729367236421,0.42231182046048954
心肌梗死 (FinnGen R9),finn-b-I9_MI,复制,SetB_Sun2018_NTproBNP_N3301,Wald(rs198389),rs198389,-0.026925698704839813,0.05521472392638037,0.9734335662121165,0.8735878713633297,1.0846910069271538,0.6257947120879495,,
心肌梗死 (FinnGen R9),finn-b-I9_MI,复制,SetB_Sun2018_NTproBNP_N3301,Wald(rs2175388),rs2175388,-0.020765027322404372,0.10874316939890712,0.979449081306031,0.7914396585909876,1.2121208388509634,0.8485610262955352,,
心肌梗死 (FinnGen R9),finn-b-I9_MI,复制,SetB_Sun2018_NTproBNP_N3301,IVW(2SNP),rs198389+rs2175388,-0.025662948082041295,0.049231918567766125,0.9746635464698344,0.8850089611122878,1.0734004632260727,0.6021811598445719,0.002551736494880885,0.959712223001183
心肌梗死 (FinnGen R9),finn-b-I9_MI,复制,SetC_Folkersen2018_BNP_N3394,Wald(rs198379),rs198379,-0.01953125,0.06328125,0.9806582491395386,0.8662666568292305,1.1101553938662168,0.7575938870048857,,
心肌梗死 (FinnGen R9),finn-b-I9_MI,复制,SetC_Folkersen2018_BNP_N3394,Wald(rs6557662),rs6557662,0.07370689655172413,0.07413793103448275,1.076491235957921,0.9308999726164885,1.2448527394807736,0.32013230000036463,,
心肌梗死 (FinnGen R9),finn-b-I9_MI,复制,SetC_Folkersen2018_BNP_N3394,IVW(2SNP),rs198379+rs6557662,0.019767317887712493,0.048131789449344424,1.0199639850392006,0.9281415834754864,1.1208705108130987,0.6812987439751677,0.9149982373796959,0.3387917081634717
心衰 (FinnGen R9),finn-b-I9_HEARTFAIL,复制,SetA_SCALLOP_NTproBNP_N21758,Wald(rs198389),rs198389,0.07634307257304429,0.07021677662582469,1.0793328001273754,0.9405581440973786,1.2385829634687522,0.27692708043372427,,
心衰 (FinnGen R9),finn-b-I9_HEARTFAIL,复制,SetA_SCALLOP_NTproBNP_N21758,Wald(rs5068),rs5068,0.05647382920110194,0.17355371900826447,1.0580989231437394,0.752998939119489,1.4868192675903389,0.7448807578672576,,
心衰 (FinnGen R9),finn-b-I9_HEARTFAIL,复制,SetA_SCALLOP_NTproBNP_N21758,IVW(2SNP),rs198389+rs5068,0.07354821866076898,0.06509128058821234,1.0763204341505612,0.9474030290324618,1.2227802122958582,0.25850813007192075,0.011263118769534822,0.9154809214554739
心衰 (FinnGen R9),finn-b-I9_HEARTFAIL,复制,SetB_Sun2018_NTproBNP_N3301,Wald(rs198389),rs198389,0.05521472392638037,0.050783912747102936,1.0567675035830246,0.956646111793121,1.167367475665444,0.27692708043372427,,
心衰 (FinnGen R9),finn-b-I9_HEARTFAIL,复制,SetB_Sun2018_NTproBNP_N3301,Wald(rs2175388),rs2175388,0.1923497267759563,0.1,1.2120943446959531,0.9963563809243126,1.4745453821261938,0.05441762930142424,,
心衰 (FinnGen R9),finn-b-I9_HEARTFAIL,复制,SetB_Sun2018_NTproBNP_N3301,IVW(2SNP),rs198389+rs2175388,0.08333077480439506,0.0452796436522277,1.0869012686493225,0.9945973204990204,1.1877715166161764,0.06571562933903685,1.4950314289277828,0.22143744325741743
心衰 (FinnGen R9),finn-b-I9_HEARTFAIL,复制,SetC_Folkersen2018_BNP_N3394,Wald(rs198379),rs198379,0.072265625,0.058203125,1.0749408373049731,0.9590495855125283,1.2048363516975025,0.2143802178754446,,
心衰 (FinnGen R9),finn-b-I9_HEARTFAIL,复制,SetC_Folkersen2018_BNP_N3394,Wald(rs6557662),rs6557662,-0.08405172413793104,0.06810344827586207,0.919383700535912,0.8044998630669342,1.050673129500311,0.21713687577002316,,
心衰 (FinnGen R9),finn-b-I9_HEARTFAIL,复制,SetC_Folkersen2018_BNP_N3394,IVW(2SNP),rs198379+rs6557662,0.00628479676472786,0.044246038477137505,1.006304587538522,0.9227126279253205,1.0974694528435924,0.8870468135266134,3.0446146878690654,0.08100533668014154
卒中 (FinnGen R9),finn-b-I9_STR_SAH,复制,SetA_SCALLOP_NTproBNP_N21758,Wald(rs198389),rs198389,-0.029217719132893494,0.06786050895381715,0.9712049915379694,0.8502504577853149,1.109366219037581,0.6667915632558512,,
卒中 (FinnGen R9),finn-b-I9_STR_SAH,复制,SetA_SCALLOP_NTproBNP_N21758,Wald(rs5068),rs5068,-0.36294765840220383,0.16873278236914602,0.6956228425572756,0.4997417010984168,0.9682824907825112,0.0314745888995851,,
卒中 (FinnGen R9),finn-b-I9_STR_SAH,复制,SetA_SCALLOP_NTproBNP_N21758,IVW(2SNP),rs198389+rs5068,-0.075681979727221,0.0629595185758084,0.9271109997748331,0.8194821716948066,1.0488755406671624,0.22933498556620302,3.367285768103636,0.06650323611817488
卒中 (FinnGen R9),finn-b-I9_STR_SAH,复制,SetB_Sun2018_NTproBNP_N3301,Wald(rs198389),rs198389,-0.021131561008861623,0.049079754601226995,0.9790901460085201,0.8892935637583623,1.0779539547769172,0.6667915632558512,,
卒中 (FinnGen R9),finn-b-I9_STR_SAH,复制,SetB_Sun2018_NTproBNP_N3301,Wald(rs2175388),rs2175388,-0.0049180327868852455,0.09672131147540984,0.9950940409352649,0.8232529262036725,1.2028042886784667,0.9594470740437391,,
卒中 (FinnGen R9),finn-b-I9_STR_SAH,复制,SetB_Sun2018_NTproBNP_N3301,IVW(2SNP),rs198389+rs2175388,-0.017811596855392395,0.04376733548540859,0.9823460920176715,0.901589849708896,1.070335746142185,0.684036662026748,0.0223463275960202,0.8811694604882129
卒中 (FinnGen R9),finn-b-I9_STR_SAH,复制,SetC_Folkersen2018_BNP_N3394,Wald(rs198379),rs198379,-0.009375,0.056249999999999994,0.990668808304661,0.8872530942503156,1.1061383658256292,0.8676323347781927,,
卒中 (FinnGen R9),finn-b-I9_STR_SAH,复制,SetC_Folkersen2018_BNP_N3394,Wald(rs6557662),rs6557662,-0.040948275862068964,0.06594827586206896,0.9598787775660856,0.843490283310809,1.092327067485919,0.5346555297110362,,
卒中 (FinnGen R9),finn-b-I9_STR_SAH,复制,SetC_Folkersen2018_BNP_N3394,IVW(2SNP),rs198379+rs6557662,-0.022671507260891337,0.042796909797698575,0.9775835601361397,0.8989269988115821,1.0631226098580677,0.5962877989738053,0.13268204776300255,0.715667248455599
卒中 (FinnGen R9 广义),finn-b-C_STROKE,复制,SetA_SCALLOP_NTproBNP_N21758,Wald(rs198389),rs198389,-0.05655042412818096,0.06126295947219604,0.9450188315430325,0.8380933196853917,1.065586100013541,0.3559671197337311,,
卒中 (FinnGen R9 广义),finn-b-C_STROKE,复制,SetA_SCALLOP_NTproBNP_N21758,Wald(rs5068),rs5068,-0.46212121212121215,0.15151515151515152,0.6299459782257532,0.46809177161635473,0.8477652450768612,0.002288413662045352,,
卒中 (FinnGen R9 广义),finn-b-C_STROKE,复制,SetA_SCALLOP_NTproBNP_N21758,IVW(2SNP),rs198389+rs5068,-0.11353913917184953,0.056795923241649476,0.8926692573919776,0.7986286987077983,0.9977833308295606,0.045600565488874256,6.15828219363518,0.01307981732449004
卒中 (FinnGen R9 广义),finn-b-C_STROKE,复制,SetB_Sun2018_NTproBNP_N3301,Wald(rs198389),rs198389,-0.0408997955010225,0.04430811179277437,0.9599253139638244,0.8800789192061834,1.0470158849159634,0.3559671197337311,,
卒中 (FinnGen R9 广义),finn-b-C_STROKE,复制,SetB_Sun2018_NTproBNP_N3301,Wald(rs2175388),rs2175388,0.000546448087431694,0.08743169398907104,1.000546597417387,0.8429735713941058,1.1875739970683858,0.9950132539607977,,
卒中 (FinnGen R9 广义),finn-b-C_STROKE,复制,SetB_Sun2018_NTproBNP_N3301,IVW(2SNP),rs198389+rs2175388,-0.032430626080259234,0.039522710003170945,0.9680896076725223,0.8959280794620059,1.046063305713461,0.41189879728030787,0.17879670468782308,0.6724093792492246
卒中 (FinnGen R9 广义),finn-b-C_STROKE,复制,SetC_Folkersen2018_BNP_N3394,Wald(rs198379),rs198379,-0.02109375,0.05078125,0.9791271670946051,0.8863662846347738,1.0815957533151588,0.6778603671731285,,
卒中 (FinnGen R9 广义),finn-b-C_STROKE,复制,SetC_Folkersen2018_BNP_N3394,Wald(rs6557662),rs6557662,0.022413793103448272,0.05948275862068965,1.0226668694272767,0.9101258304659223,1.149124100003605,0.7063136238657859,,
卒中 (FinnGen R9 广义),finn-b-C_STROKE,复制,SetC_Folkersen2018_BNP_N3394,IVW(2SNP),rs198379+rs6557662,-0.0027521362369933664,0.03862136276194047,0.9972516474180995,0.9245482794868547,1.075672163740426,0.9431912844998123,0.3094534500786559,0.5780157639813611
